iter	Passed	Remaining
0	1189	593665
1	2253	561189
2	3260	540182
3	4301	533372
4	5376	532259
5	6415	528215
6	7393	520704
7	8295	510155
8	9342	509671
9	10330	506207
10	11334	503851
11	12291	499855
12	13231	495681
13	14123	490291
14	15057	486874
15	15926	481777
16	16859	479021
17	17848	477931
18	18712	473731
19	19622	470950
20	20426	465913
21	21118	458850
22	22082	457966
23	22861	453422
24	23538	447226
25	24055	438545
26	24563	430316
27	25462	429224
28	26119	424219
29	26823	420232
30	27451	415307
31	28508	416932
32	29588	418718
33	30618	419651
34	31744	421742
35	32752	422146
36	33872	423858
37	34817	423301
38	35818	423392
39	36707	422141
40	37522	420071
41	38360	418310
42	39083	415370
43	39899	413503
44	41012	414679
45	41867	413217
46	42661	411188
47	43179	406602
48	44171	406562
49	44888	403995
50	45623	401662
51	46743	402709
52	47840	403486
53	48631	401656
54	49278	398706
55	50087	397119
56	51024	396555
57	51731	394231
58	52628	393372
59	53346	391208
60	54050	388985
61	55072	389062
62	55761	386790
63	56813	387041
64	57807	386868
65	58849	386982
66	59797	386449
67	60734	385841
68	61783	385922
69	62698	385147
70	63683	384790
71	64855	385531
72	65868	385287
73	66777	384419
74	67790	384146
75	68752	383567
76	69646	382603
77	70441	381109
78	71450	380770
79	72469	380466
80	73292	379129
81	73907	376745
82	74771	375657
83	75676	374777
84	76603	374007
85	77662	373865
86	78682	373514
87	79556	372469
88	80578	372107
89	81749	372415
90	82806	372174
91	83819	371723
92	84852	371344
93	85771	370460
94	86668	369482
95	87555	368461
96	88625	368205
97	89677	367861
98	90666	367243
99	91786	367145
100	92898	366993
101	94071	367063
102	95160	366782
103	96261	366533
104	97393	366383
105	98413	365802
106	99359	364938
107	100161	363547
108	101179	362946
109	102099	361990
110	103099	361313
111	104095	360616
112	105008	359631
113	105880	358506
114	106686	357168
115	107644	356338
116	108509	355206
117	109509	354515
118	110312	353184
119	111348	352602
120	112287	351709
121	113239	350858
122	114260	350211
123	115273	349537
124	116191	348575
125	117142	347708
126	118210	347186
127	119308	346740
128	120312	346013
129	121200	344954
130	122137	344035
131	123218	343518
132	124235	342815
133	125176	341900
134	126114	340975
135	127002	339919
136	127948	339017
137	128907	338149
138	129794	337092
139	130561	335729
140	131417	334600
141	132481	334002
142	133419	333082
143	134291	331999
144	135322	331307
145	136255	330372
146	137227	329533
147	138121	328504
148	139099	327678
149	140176	327079
150	141266	326502
151	142238	325652
152	143281	324957
153	144312	324233
154	145167	323115
155	146320	322655
156	147507	322262
157	148600	321653
158	149705	321066
159	150683	320203
160	151604	319217
161	152619	318427
162	153699	317770
163	154578	316696
164	155495	315702
165	156543	314972
166	157494	314046
167	158458	313144
168	159664	312716
169	160688	311924
170	161793	311286
171	162898	310643
172	163780	309572
173	164790	308746
174	165907	308114
175	167057	307538
176	168040	306650
177	169027	305769
178	170078	305000
179	171044	304078
180	171861	302894
181	172902	302103
182	174089	301565
183	174970	300493
184	175810	299352
185	176808	298483
186	177834	297659
187	178844	296806
188	179808	295874
189	180816	295015
190	181686	293931
191	182679	293048
192	183682	292178
193	184739	291393
194	185704	290461
195	186697	289571
196	187622	288577
197	188664	287760
198	189667	286883
199	190374	285562
200	191430	284764
201	192503	283990
202	193635	283298
203	194717	282531
204	195753	281694
205	196742	280787
206	197827	280017
207	198833	279131
208	199990	278455
209	200899	277432
210	201769	276357
211	202741	275422
212	203662	274417
213	204628	273476
214	205592	272530
215	206448	271442
216	207440	270532
217	208278	269424
218	209173	268391
219	210127	267435
220	210974	266343
221	211934	265395
222	212871	264418
223	213645	263241
224	214500	262166
225	215484	261250
226	216499	260371
227	217545	259527
228	218512	258589
229	219474	257643
230	220477	256746
231	221411	255768
232	222416	254872
233	223367	253913
234	224368	253011
235	225045	251745
236	225943	250730
237	227000	249891
238	228015	249004
239	228977	248059
240	229819	246983
241	230838	246100
242	231786	245140
243	232819	244269
244	233789	243331
245	234828	242465
246	235776	241503
247	236559	240375
248	237400	239306
249	238457	238457
250	239431	237523
251	240508	236690
252	241573	235844
253	242474	234837
254	243300	233759
255	244056	232616
256	244899	231559
257	245822	230578
258	246838	229683
259	247682	228629
260	248605	227650
261	249627	226760
262	250549	225780
263	251336	224679
264	252417	223842
265	253357	222878
266	254391	221996
267	255304	221010
268	256092	219915
269	256956	218888
270	257855	217892
271	258881	217003
272	259902	216109
273	260968	215251
274	261894	214277
275	262942	213402
276	263966	212507
277	264837	211488
278	265771	210521
279	266690	209542
280	267754	208676
281	268731	207743
282	269603	206727
283	270524	205751
284	271505	204819
285	272366	203798
286	273406	202911
287	274392	201983
288	275239	200953
289	276218	200020
290	277273	199141
291	278291	198234
292	279254	197289
293	280217	196343
294	281124	195358
295	281864	194258
296	282791	193288
297	283772	192356
298	284696	191384
299	285535	190357
300	286451	189381
301	287491	188487
302	288492	187567
303	289423	186602
304	290381	185653
305	291356	184716
306	292244	183723
307	293084	182702
308	293971	181710
309	294929	180763
310	295909	179829
311	296914	178909
312	297728	177876
313	298819	177007
314	299670	175996
315	300615	175042
316	301562	174087
317	302511	173135
318	303510	172211
319	304372	171209
320	305329	170261
321	306298	169320
322	307205	168344
323	308222	167429
324	309295	166543
325	310307	165624
326	311155	164617
327	312061	163641
328	312977	162672
329	313957	161735
330	314851	160755
331	315761	159782
332	316704	158827
333	317696	157897
334	318649	156946
335	319682	156035
336	320740	155135
337	321680	154178
338	322660	153239
339	323550	152259
340	324410	151264
341	325298	150284
342	326311	149361
343	327198	148380
344	328081	147398
345	328933	146403
346	329913	145466
347	330802	144488
348	331828	143570
349	332860	142654
350	333910	141745
351	334995	140850
352	335975	139910
353	337086	139024
354	338129	138109
355	339190	137200
356	340138	136246
357	341094	135294
358	342061	134347
359	343189	133462
360	344236	132545
361	345252	131615
362	346361	130720
363	347345	129777
364	348397	128859
365	349491	127955
366	350349	126966
367	351346	126026
368	352318	125077
369	353261	124119
370	354125	123132
371	355212	122223
372	356235	121291
373	357425	120415
374	358413	119471
375	359318	118498
376	360229	117528
377	361217	116583
378	362239	115649
379	363254	114711
380	364152	113737
381	364721	112662
382	365810	111748
383	366734	110784
384	367623	109809
385	368634	108871
386	369501	107890
387	370390	106916
388	371469	105997
389	372256	104995
390	373273	104058
391	374196	103095
392	375105	102127
393	375976	101151
394	376967	100206
395	377992	99270
396	378927	98311
397	379871	97353
398	380858	96407
399	381916	95479
400	382787	94503
401	383877	93582
402	384925	92649
403	385931	91706
404	386937	90763
405	387899	89809
406	388826	88847
407	389812	87898
408	390726	86934
409	391827	86010
410	392800	85058
411	393777	84107
412	394734	83152
413	395803	82220
414	396665	81244
415	397709	80306
416	398819	79381
417	399775	78424
418	400841	77489
419	401830	76539
420	402793	75583
421	403704	74618
422	404610	73652
423	405484	72681
424	406490	71733
425	407582	70800
426	408559	69847
427	409584	68901
428	410625	67958
429	411574	67000
430	412585	66052
431	413483	65085
432	414531	64142
433	415626	63205
434	416621	62253
435	417652	61306
436	418566	60342
437	419426	59370
438	420508	58430
439	421475	57473
440	422502	56525
441	423540	55577
442	424572	54629
443	425586	53677
444	426541	52718
445	427478	51757
446	428360	50789
447	429430	49844
448	430415	48889
449	431379	47931
450	432437	46983
451	433480	46033
452	434501	45080
453	435401	44115
454	436361	43156
455	437396	42204
456	438300	41240
457	439385	40293
458	440257	39325
459	441351	38378
460	442352	37422
461	443398	36469
462	444300	35505
463	445247	34545
464	446265	33589
465	447201	32628
466	448270	31676
467	449396	30727
468	450484	29776
469	451483	28818
470	452446	27857
471	453559	26906
472	454470	25942
473	455372	24978
474	456292	24015
475	457226	23053
476	458141	22090
477	459116	21130
478	460195	20175
479	461274	19219
480	462309	18261
481	463105	17294
482	464215	16338
483	465221	15379
484	466346	14423
485	467354	13462
486	468457	12505
487	469568	11546
488	470511	10584
489	471413	9620
490	472478	8660
491	473429	7698
492	474385	6735
493	475366	5773
494	476178	4809
495	477169	3848
496	478111	2885
497	479144	1924
498	480082	962
499	481009	0
